1,merhaymar lenin cnegobec adan cnacecuador arellaproano economista ecuadorreal ramirogarciaf 
0,poniendolospiesenlatierra de ganar el si en la consultapopular tendremos otros años de gobierno de 
1,collaguazon gracielaanchun ecuadorreal merhaymar lenin cnegobec adan cnacecuador arellaproano 
1,drrobertolopez gracielaanchun collaguazon ecuadorreal merhaymar lenin cnegobec adan cnacecuador 
1,carlosjijon solbuendia mashirafael jajajajaj claro súper imparcial
1,los dictadorzuelos también se orinan si o no mashirafael amdycc izackx iwiaec economista cnacecuador 
1,tastudillos no podemos votar en esta consulta visceralmente debemos analizar todas las preguntas con sus anexos votoinformado
1,esperando la caravana de mashirafael amdycc izackx economista ecuadorreal mercurioec ecuavisainforma 
0,gelicaludena babadmerchan iessec y porque todos los ecuatorianos si es deuda del gobierno 
0,mercurioec y porqué no hicieron pública la corrupción antes porqué callan si sabían o conocían de la corrupción 
1,jasmel lenin no es cierto la consultapopularec es para que los ciudadanos le den todos los poderes a lenin re 
0,lilianallanes unsiontv otros años de correismo solo que sin correa
1,la consulta no consulta vota si o vota no pan con caca para todos
1,mashirafael que se siente pues estas dando la razón a todos los que votamos por lassoguillermo y acabas de reco 
1,pabloricaurte mashirafael fiscaliaecuador el sinverguenza más grande que tiene este país ahora sin poder
1,y el auto premio consuelo es para mashirafael 
0,ramirogarciaf correa si podrá presentarse en el como candidato a presidente del ecuador la ley no es retroa 
1,tomebamba mashirafael un pensamiento mediocre sentirse ganador en plena derrota
1,soy lenin del futuro y vengo a votar noconsultapopular 
