1,el cne aprobó a organizaciones para la campaña por la consulta popular
0,alemania en problemas lleva tres meses sin gobierno y comienza a menguar su influencia en europa
1,se incrementan las multas por no votar en la consulta popular y referéndum
1,jotak hola jotak referente a tu consulta te informamos que contractualmente puertolimpio realiza la rec 
1,mashirafael cuando twiteas te imagino asi caretuco loco y mentirosisimo 
0,lenin a las preguntas y será no judas traidor
1,mashirafael yo me acuerdo cuando ud le huía a cada mínimo debate es que lo leo y no me lo puedo creer dónde est 
1,ao en consulta popularperdi la oposicin las instituciones del sistema financiero privado así como las e 
1,mashirafael bla bla bla igual si a las para que la década pasada no vuelva
1,rickyreyesp teafundacion lenin policiaecuador eso fue en colombia
0,pameaguirre te hablan traidor lenin 
1,qué mal quedas lenin 
1,me da vergenza lenin haber votado por ti 
1,lenin usted señor también iría preso recuerde fue años vicepresidente y después años como canciller no lo olvides lenin
1,guillaumelong mashirafael lenin por que no lo acompañas ya devolviste el sueldo que te pagamos
1,patrick malenajarrin mashirafael si si si si si si si ratas afuera
0,claro porque ya no puede mandar a matar como lo hizo en su época de inmunidadecuador odia a rafael correaporque 
1,lenin todos en contra del odio y la violencia lamentablemente eso es parte de la mesa servida que le dejo su an 
0,lo mismo pensé que era una modalidad de correa para victimizarse 
0,clarreategui la asamblea nacional esta conformada por un poco de gente convencida de su revolución haciendo lo qu 
1,todas las preguntas de la consultapopular tienen más del de votos a favor del s es literalmente una paliza vecessi
0,josemanosalvas donxavier el asunto en que correa no habla de sus derechos si no del derecho de todos
1,mariobsc pepesotomayor gissegarzonm mashirafael a la miseria humana no se le hace caso 
0,y x q emelec quedó campeón en el año q ya no estaba correa osea q ls equipos q ha sido auspiciados x instituciones 
1,vicenq ppmerat mashirafael mis patrones de qué siento mucho no contestar rápido tuve un accidente terrible 
1,bancadarc ecuavisa mashirafael oeaoficial ecuadorrc institutocne unioreparaguay guillaumelong aweb 
0,carlosverareal no sea iluso según lo que pase el domingo sabremos la vida política de correa ruegue que 
1,teatrero cómo siempre mashirafael 
1,hsedi washingtonfgi moxiza nbko lassoguillermo anderssonboscan falvaradoe mashirafael lenin un abra 
1,lenin por favor atender a esto no puede ser que esos libros estén manchados 
1,anamari matteojoseal mashirafael otra boba
1,estimado lenin le propongo que en las próximas elecciones de votación popular le pida a cnegobec nos permita ir a 
1,santyguarderas lombremono mevle lenin se limpia con lo corte constitucional
1,esta señora no sabe de que se trata la consulta vergenza 
0,dile vecesno a esta consulta de los oligarcas del pasado no 
1,mashirafael pobrecito hp tanta plata te robaste y ahora lloras por pagar impuestos cara dura eres rata vulgar ladrón
1,gracias a usted mashirafael grande por no abandonarnos en tiempos difíciles pero venceremos 
0,fernandosand me sumo a sus ideales dr y espero algún día ver reducido los niveles de corrupción que desde la 
0,votopregunta actos de corrupción sipregunta reelección indefinida nopregunta consejo de participaci 
1,lenin no a los traidores 
1,pudo ser un domingo normal pero a lenin se le ocurrió hacer una consulta popular y así revivir a los q tanto daño le hicieron al país
1, veces si pormipais porlasfamiliasecuatorianas pormifamilia vecessi yocreoenlaconsulta 
1,me da risa ver cómo ponen actas se acuerdan cuando lasso hizo lo mismo se ha vuelto de creo mashirafael jajaja 
1,carolgrillito mashirafael arrecha carol
1,mashirafael si a todo
1,mashirafael cuando eras presidente me tenían arrecho tantas propagandas ojo todas esas propagandas que hacían l 
1,marcelaguinaga ecuadorrc mashirafael rcmguayas bancadarc hago una pregunta ud voto todo no incluyendo la preg 
1,mashirafael se repite la historia nooooooo
1,justefytalover como cuando iba ganando lasso no dieron resultados por más de una hora y cuando volvió moreno ya e 
0,guillermo lasso a partir de hoy correa es parte del pasado
1,cne presentación de resultados preliminares del referéndum y consulta popular en ecuador 
1,dime qué se siente mashirafael 
1,mashirafael igualito a tus mañas lee bien sinverguenza caretuco
1,jedimaldito fabriciorevelo mashirafael ahora los millones de ecuatorianos nos reimos de ti satrapa
1,mashirafael jajajajajajaja jajajajajajaja el alumno supera al maestro buen trabajo
1,mashirafael los dejo bien entrenados en todo caso con pasantías en venezuela que esperaba
1,cne resultados preliminares referéndum y consulta popular en ecuador 
1,el pdte lenin moreno agradece a los ecuatorianos por su participación en la consulta popular y destaca transparencia del proceso
1,mashirafael cuantas veces manipulo las elecciones
0,jorgerojascr mashirafael ovejunos ecuadorrc solbuendia somosmasec tcanarte ricardopatinoec mashisurfer 
1, es un encargo que don lenin luego no nos salga con sorpresas 
1,lenín moreno anuncia que de inmediato se dará paso a reformas legales y constitucionales
0,nunca pensé que ese fuera correa fuera iba a llegar a ser cierto tan pronto nos vemos hp
1,mashirafael ja ja ja a llorar la al monte mashirafael no te queremos por favor esfumate desaparece andate sal de aqui
1,uy si ahora comento sobre el halftimeshow porque ya vi los resultados de la consulta popular noveleros
1,con respecto a la consulta de hoy ahora toca ver que pasa mañana ojalá mejore el pais
1,ecuadordijosí y la voz del pueblo es escuchada y respetada como dice el presidente lenin nada para ustedes si 
0,dhanna el propuso la consulta en su plan de gobierno con la mayoría de preguntas similares
0,lucio y la loca pidiendo cero corrupción da fackkk
1,el español ha sido periodista cubriendo la consulta popular he hablado de política internacional una hora no pude 
0,dormolina indudablemente y aun en gye la votación de correa sigue siendo demasiado alta para mi gusto
1,aliciamantilla lenin esa es
1,ecuapoll mashirafael correa y guayaquil fácil pone en la alcalde 
1,atención lenin 
